question,Option A,Option B,Option C,Option D
What is the largest planet in our solar system?,A) Mercury,B) Venus,C) Saturn,D) Jupiter
Which gas is most abundant in Earth's atmosphere?,A) Nitrogen,B) Oxygen,C) Carbon dioxide,D) Argon
What is the chemical symbol for gold?,A) Au,B) Ag,C) Fe,D) Cu
Which organ produces insulin in the human body?,A) Liver,B) Pancreas,C) Kidney,D) Stomach
What is the unit of measurement for electric current?,A) Volt,B) Ampere,C) Ohm,D) Watt
Which of the following is NOT a renewable energy source?,A) Solar power,B) Wind power,C) Natural gas,D) Geothermal energy
Which scientist proposed the theory of general relativity?,A) Isaac Newton,B) Albert Einstein,C) Galileo Galilei,D) Nikola Tesla
What is the largest organ in the human body?,A) Heart,B) Liver,C) Brain,D) Skin
What is the process by which plants convert light energy into chemical energy?,A) Respiration,B) Photosynthesis,C) Fermentation,D) Transpiration
What is the chemical formula for water?,A) H2O,B) CO2,C) NaCl,D) O2
